Sample,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,5512,-284,17092,108,53,-204
1,5688,-220,17064,124,4,-238
2,5588,-284,16976,133,-41,-201
3,5608,-212,17016,120,0,-238
4,5592,-260,17016,104,-10,-213
5,5552,-204,16936,142,-44,-213
6,5516,-272,16984,117,-23,-241
7,5556,-168,17048,126,-15,-195
8,5592,-296,17080,126,-6,-240
9,5588,-204,17048,90,-26,-229
10,5616,-260,16996,119,-3,-230
11,5552,-216,16964,137,-1,-229
12,5624,-244,16976,143,-35,-221
13,5604,-292,17076,72,12,-232
14,5568,-240,16964,104,-40,-229
15,5520,-256,17040,86,8,-230
16,5548,-224,17020,121,-17,-203
17,5576,-220,17036,111,-12,-220
18,5624,-288,16996,108,-34,-197
19,5576,-228,16908,108,-9,-164
20,5576,-288,17004,132,-39,-223
21,5572,-208,17052,120,-20,-212
22,5568,-220,17080,109,-21,-213
23,5600,-284,17032,123,9,-177
24,5560,-340,17104,101,7,-198
25,5596,-288,17020,120,-37,-231
26,5492,-180,16980,106,-19,-247
27,5516,-260,17008,129,-23,-220
28,5640,-244,17024,83,8,-247
29,5620,-276,17000,92,-10,-213
30,5600,-172,17008,101,-23,-200
31,5544,-224,17064,112,-35,-259
32,5576,-248,17032,132,-37,-216
33,5560,-272,17168,124,-14,-237
34,5624,-260,17056,104,-10,-232
35,5548,-280,16972,105,-24,-227
36,5524,-216,16916,105,3,-212
37,5524,-164,16988,141,-28,-164
38,5556,-248,17000,117,-5,-223
39,5512,-204,17044,119,-45,-228
40,5580,-288,17068,111,-13,-213
41,5572,-200,17068,117,-24,-243
42,5580,-268,16964,136,-64,-232
43,5592,-240,17008,121,-28,-214
44,5564,-224,17028,125,-10,-215
45,5556,-224,17008,131,-16,-234
46,5600,-212,17100,91,-11,-219
47,5508,-168,16996,152,-16,-228
48,5580,-224,17036,108,4,-223
49,5600,-240,16976,105,-14,-227
50,5684,-252,17000,86,-158,-214
51,8168,-5652,16036,19,-1082,-1703
52,7032,1688,17396,-6337,3200,-992
53,6764,-2916,16364,-32768,10622,-733
54,4588,-7000,15716,7040,1236,-2865
55,4060,-7900,15144,-3469,1513,3196
56,3124,-9892,13716,-2681,3262,4382
57,2496,-8308,13568,4361,-241,378
58,3760,-3876,16812,6443,651,5478
59,4116,2024,17188,-3873,200,-118
60,2296,-148,18180,14143,-2665,-9201
61,5700,7664,14312,15823,-3583,1106
62,5312,9140,13680,2819,577,3391
63,6144,9856,13560,11637,-349,4244
64,7112,10760,11972,4454,-336,1360
65,7216,11532,11044,-3591,-484,-1827
66,5948,10772,12284,-8042,-17,-3169
67,6672,10092,13216,-13937,560,-7839
68,4640,7600,14860,-18615,613,-9087
69,4476,5888,16384,-15920,136,-7469
70,3608,1264,17760,-23535,-334,-5023
71,4024,-5716,17292,-23243,-1504,5426
72,3728,-9988,15232,-5289,-499,5113
73,1572,-9264,14848,6596,-1802,10734
74,960,-8744,15208,2587,215,5797
75,1164,-7012,16264,4455,-537,1702
76,1104,-6256,15644,2975,-1440,-2454
77,2412,-5508,16328,48,-1547,-9230
78,2172,-7496,16052,-5046,827,-6874
79,2628,-8208,15432,2462,-4,-4318
80,2616,-6468,16176,12369,-383,6023
81,2148,-3172,17216,9430,-436,6476
82,2796,-1100,17184,10701,-1930,2019
83,1476,-1288,18272,-8324,-674,-5996
84,3988,1344,17772,9665,-821,271
85,4124,3616,17352,18140,-3542,833
86,3836,4996,16024,-1913,-2139,-3235
87,4164,6200,16036,4249,-699,527
88,4288,7060,15832,4110,-343,442
89,5340,8596,14492,13505,-365,3204
90,4608,10032,14116,-2158,-4338,-4741
91,4572,8324,14876,8435,365,1495
92,5420,10772,14464,1599,-1518,-3189
93,5016,9980,14000,-8804,-525,-2519
94,4812,8704,14968,-8820,-427,-3109
95,4680,7500,16068,-9735,-46,-2916
96,4312,5944,16528,-6507,475,-2000
97,4064,3788,17156,-8470,-192,-1169
98,4172,700,17908,-14560,112,407
99,3992,-3368,17808,-6890,-6,2250
100,3592,-5332,16344,-3293,-74,2335
101,3504,-7336,16440,-3775,485,2140
102,3344,-6700,15964,6122,-944,2723
103,3376,-6696,16260,3705,-627,-1158
104,3064,-5424,16484,4865,-628,160
105,3252,-4732,16748,3025,-571,129
106,3576,-3364,16456,6835,-1145,-229
107,3556,1132,16180,22364,-5436,33
108,4764,3040,17080,12571,268,3864
109,5624,5516,16328,3811,-1739,90
110,5832,6228,15056,-1858,-1479,-5123
111,5428,3424,16992,-22836,329,-6529
112,5296,2888,16552,-9373,518,-2469
113,5268,1292,17460,-3208,530,-748
114,4960,-1512,16964,-3111,817,-695
115,4792,-3684,16828,-1844,544,-156
116,4852,-5028,16228,-5546,207,372
117,4768,-4924,16464,-4355,725,612
118,4304,-6516,15864,-2366,-45,2503
119,4316,-8120,15008,-2942,-355,1449
120,4256,-6972,15132,4829,-167,1036
121,4160,-4072,17276,26772,-2173,4851
122,5080,3088,16784,16371,-2562,1608
123,5676,4336,15400,-2830,-1722,-2270
124,5524,3324,16532,-5765,-136,-2475
125,5720,2392,16332,7137,-5135,3811
126,5836,2768,16692,-361,-106,999
127,6364,2120,16732,-3651,-330,1939
128,1508,-7032,14736,18789,14987,-13408
129,5368,-1112,15768,479,-1538,874
130,5608,-448,17076,224,-103,220
131,5884,-248,16832,127,86,-185
132,5836,-336,16932,171,-25,-229
133,5876,-276,16980,150,-6,-180
134,5720,-340,16828,252,-417,96
135,5988,-320,16964,108,-138,-182
136,5804,-220,16928,103,18,-186
137,5796,-296,16820,104,-24,-186
138,5808,-268,16900,115,-32,-208
139,5836,-236,16932,121,-21,-172
140,5844,-252,16896,122,-13,-145
141,5864,-296,16952,222,74,128
142,5816,-260,16884,128,-96,-212
143,5812,-212,16844,149,21,-195
144,5836,-312,16908,153,-5,-203
145,5788,-328,16964,104,-45,-219
146,5868,-232,16976,91,-44,-215
147,5832,-260,16836,153,-2,-192
148,5888,-284,16952,127,-7,-223
149,5796,-256,16956,126,-20,-206
150,5848,-244,16844,139,-42,-207
151,5832,-240,16984,137,-23,-177
152,5820,-240,16908,107,-18,-228
153,5844,-228,16868,129,11,-220
154,5776,-288,16936,136,-11,-201
155,5800,-324,16948,112,-32,-202
156,5852,-296,16960,96,-23,-222
157,5832,-244,16896,134,-4,-200
158,5768,-256,16920,110,-75,-189
159,5784,-260,16976,101,23,-217
160,5756,-268,17000,92,-34,-223
161,5820,-292,16932,128,0,-225
162,5772,-344,16924,121,-10,-200
163,5792,-332,16948,83,-3,-225
164,5816,-300,16872,93,-38,-219
165,5800,-324,16952,133,-32,-194
166,5756,-284,16908,81,-47,-178
167,5784,-256,16932,102,-35,-220
168,5832,-304,16972,108,12,-220
169,5804,-200,16948,110,-23,-224
170,5804,-236,16964,114,37,-228
171,5796,-292,16984,160,-57,-204
172,5820,-232,16932,115,-17,-213
173,5724,-304,16996,127,3,-228
174,5856,-288,16972,113,-24,-200
175,5792,-264,16948,95,-29,-194
176,5828,-268,16984,130,-28,-222
177,5800,-240,16956,94,-39,-176
178,5836,-208,16932,110,20,-208
179,5832,-260,17044,139,75,-212
180,5820,-240,16932,97,38,-187
181,5752,-236,16976,96,-73,-249
182,5812,-256,16936,132,-4,-256
183,5776,-252,16964,115,-39,-243
184,5800,-264,16988,132,-26,-206
185,5780,-308,16892,117,-18,-210
186,5804,-296,16916,117,-38,-205
187,5812,-300,16912,87,-3,-215
188,5708,-252,16976,105,-32,-243
189,5740,-260,16992,83,-46,-222
190,5792,-228,16980,112,-18,-199
191,5812,-312,16900,75,-29,-208
192,5780,-252,16908,119,-6,-214
193,5756,-272,16912,124,4,-187
194,5768,-268,17000,117,-47,-211
195,5780,-308,16944,95,30,-208
196,5784,-276,16968,136,39,-229
197,5756,-240,16972,80,-32,-194
198,5820,-264,16976,116,-21,-207
199,5748,-304,16968,113,-55,-237
200,5736,-268,16916,124,-40,-188
201,5780,-288,16916,111,-49,-223
202,5756,-292,16924,115,-22,-239
203,5756,-264,16880,154,9,-216
204,5768,-260,16972,110,-59,-212
205,5844,-248,16924,115,-14,-242
206,5792,-300,17000,120,-54,-221
207,5768,-264,16988,83,-20,-230
208,5780,-240,16940,95,11,-192
209,5804,-252,16940,110,-39,-230
210,5820,-244,16968,113,-9,-176
211,5788,-260,16940,129,-33,-240
212,5712,-256,16964,106,-13,-227
213,5768,-288,16940,130,-10,-199
214,5820,-268,17016,125,76,-215
215,5700,-264,17008,131,-161,-222
216,5744,-256,17000,109,-85,-220
217,5852,-284,16968,95,4,-222
218,5736,-228,16996,92,-57,-196
219,5804,-264,16996,99,18,-236
220,5716,-296,17020,121,-168,-218
