Sample,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
221,5760,-300,17004,99,10,-202
222,5872,-208,16972,108,-15,-166
223,5812,-252,16868,92,-38,-217
224,5760,-276,16996,103,-62,-233
225,5824,-232,16980,99,-102,-231
226,5804,-328,16992,145,-91,-221
227,5768,-248,17020,122,-93,-199
228,5764,-312,16948,117,43,-214
229,5744,-324,16972,94,-126,-235
230,5752,-256,16896,120,-10,-195
231,5784,-224,16956,145,31,-219
232,5864,-280,16796,113,-211,-232
233,5732,-320,17120,108,-250,-240
234,5816,-200,16872,120,108,-220
235,5808,-208,16892,125,260,-175
236,5724,-148,16932,142,-167,-209
237,5728,-228,16976,130,100,-228
238,5688,-264,16984,113,-14,-196
239,5792,-208,16824,95,-27,-250
240,5728,-300,16988,102,-36,-245
241,6000,-80,17020,110,-61,-167
242,5840,-376,16872,104,-177,-242
243,5876,-244,17084,124,21,-244
244,6024,-260,17044,123,193,-207
245,5600,-240,16888,126,34,-192
246,5848,-256,16944,115,10,-209
247,5780,-368,16904,128,80,-261
248,5808,-332,16900,92,66,-194
249,5820,-264,17000,119,-70,-221
250,5692,-272,16964,101,82,-220
251,5796,-212,16900,152,7,-177
252,5796,-348,16980,107,-58,-202
253,5816,-272,17060,115,38,-180
254,5708,-268,16916,120,-77,-210
255,5764,-340,17004,114,-17,-249
256,5780,-204,16976,106,101,-236
257,5752,-292,16932,92,-50,-201
258,5800,-308,16932,72,-78,-199
259,5764,-296,16916,145,34,-217
260,5780,-272,16864,125,-97,-224
261,5588,-324,17104,101,40,-193
262,5712,-240,16996,88,-16,-214
263,5796,-280,17016,116,-22,-169
264,5692,-240,16648,108,-13,-197
265,5884,-204,16968,130,-12,-221
266,5728,-188,16924,154,75,-171
267,5900,-240,17004,116,-32,-244
268,5884,-296,16892,114,-77,-251
269,5948,-184,17032,156,179,-193
270,5628,-340,16928,90,-84,-229
271,5956,-220,16960,107,-100,-184
272,5736,-340,16928,110,-106,-222
273,5740,-276,17004,118,52,-212
274,5808,-264,16996,127,55,-214
275,5820,-300,16912,115,100,-223
276,5740,-232,17064,126,-20,-227
277,5824,-364,17112,138,144,-201
278,5896,-388,17060,93,181,-223
279,5756,-276,16996,110,-95,-218
280,5728,-344,16852,99,34,-235
281,5740,-256,16976,77,-7,-213
282,5756,-264,16960,89,-244,-235
283,5772,-252,16960,73,64,-207
284,5744,-304,17000,102,-57,-191
285,5624,-284,16832,123,-301,-218
286,5780,-284,16956,98,160,-190
287,5728,-244,16988,135,-183,-186
288,5844,-228,16952,149,-96,-247
289,5860,-296,16800,50,-120,-250
290,5848,-296,17180,74,-209,-207
291,5952,-264,16924,83,392,-199
292,5800,-328,17100,115,-269,-240
293,5772,-320,16900,110,295,-222
294,5776,-268,17008,116,-240,-223
295,5824,-300,16932,111,47,-241
296,5844,-348,16976,127,96,-172
297,5752,-264,16968,162,-79,-202
298,5768,-288,16912,108,-22,-230
299,5768,-272,16804,110,-74,-241
300,5792,-328,17004,118,15,-188
301,5804,-288,16832,100,-58,-243
302,5724,-324,16948,119,34,-217
303,5800,-292,16916,73,2,-213
304,5768,-332,16984,109,-35,-182
305,5736,-308,17056,126,-25,-192
306,5780,-276,16972,109,-44,-209
307,5756,-260,16992,114,-14,-226
308,5736,-232,16944,138,27,-183
309,5776,-316,16900,119,-54,-217
310,5792,-280,16884,120,-35,-203
311,5748,-304,16916,91,-27,-219
312,5712,-340,16876,94,6,-234
313,5780,-308,16908,124,1,-213
314,5764,-264,16992,86,2,-225
315,5812,-328,16964,119,-5,-168
316,5764,-320,16928,103,-43,-205
317,5840,-304,16928,159,-22,-198
318,5872,-300,17048,182,115,-237
319,5708,-228,16988,127,91,-195
320,5744,-268,16904,91,-18,-208
321,5692,-216,16972,112,-337,-191
322,5812,-228,16992,94,21,-234
323,5672,-1580,17356,-4470,-4250,-10846
324,5328,-3620,16396,-32768,6793,-2533
325,4296,-9436,14132,-9882,1500,10071
326,3644,-9640,13720,2236,1383,7150
327,2640,-7200,16884,11002,131,3085
328,4952,620,14704,18366,-4266,-2096
329,4740,1724,17120,-19999,2593,-13872
330,3232,-7512,14512,-4753,380,-4759
331,2360,-5312,16252,32767,-3247,15234
332,4492,144,17756,7383,-3320,-4145
333,4568,4720,17268,8804,-4828,-739
334,4368,4584,16480,-19181,835,-5046
335,4452,-332,17536,-32768,722,-11760
336,4580,-4604,16852,-4949,740,-1496
337,3388,-2816,17092,32767,-4224,8887
338,6748,5456,14560,-16243,74,-7930
339,4508,-3792,17436,-15324,-415,-5516
340,4756,-5552,16864,-3580,553,-1786
341,4916,-7248,15176,-2943,26,-575
342,4452,-6940,15392,5318,-1036,2381
343,4888,-5760,15768,16275,-3142,10120
344,4800,392,16960,25185,-5044,3995
345,6260,3848,16364,-11541,-682,-8205
346,5060,-3872,16728,-13540,781,-9406
347,5104,-4124,16756,4242,347,1391
348,4744,720,17260,20786,-298,8649
349,5808,3972,16112,9047,-886,-18
350,5336,2128,17008,-3564,-759,-3597
351,5000,808,16828,-5768,748,-2310
352,4252,-1968,17176,-3387,192,-83
353,4692,-1372,17524,1618,409,838
354,5008,700,17264,9033,-1141,2563
355,5292,2852,16844,5574,-4,819
356,5536,4688,16916,2937,-1636,-610
357,5420,6400,15992,12878,-1957,137
358,5864,6680,15620,-7140,533,-2243
359,5356,6084,16548,-226,-168,-511
360,5444,6396,16360,1193,-249,-573
361,5560,7016,15776,-157,-770,-516
362,5828,6756,15332,-7511,311,-1247
363,5708,5616,16240,-11738,471,-2291
364,5160,3216,17232,-13914,1032,-1865
365,4724,-1036,17468,-13620,1284,-912
366,4432,-4800,16792,-5833,691,-887
367,4520,-6012,16004,483,-107,298
368,4160,-7036,16152,233,105,1203
369,3996,-5812,16680,12041,-1363,7954
370,4076,-2992,17076,9856,-1817,941
371,4512,-728,17384,9299,-1810,-1390
372,4352,608,18400,663,6,-1922
373,5000,3824,16820,11002,-1791,-36
374,5036,4272,16452,-6964,722,-1644
375,4968,3536,16788,-2721,287,-117
376,5072,2512,17056,-3417,777,-236
377,4632,2120,16388,-9041,478,-112
378,4708,-204,17428,-8099,1497,-521
379,4284,-3588,16068,-15401,1449,-1755
380,3860,-5644,16068,-7231,933,-855
381,3828,-6348,16388,-5793,1212,-1144
382,3688,-7516,14948,-197,-141,-239
383,3844,-6988,15284,9924,-1482,678
384,3664,-4728,17340,13718,-1946,1783
385,4828,-432,17556,23332,-2193,4178
386,4348,2844,17132,8302,-904,856
387,5116,3684,16668,-810,-458,-1591
388,4800,3032,16992,2511,-1022,-1246
389,4780,1836,16964,-9313,1339,782
390,5120,-940,18856,-3070,331,192
391,4516,-564,17280,1033,-334,-183
392,4464,-120,17388,-715,-481,-117
393,4580,-172,16176,-4632,-100,158
394,4580,-2372,16988,405,129,-153
395,4552,-828,17136,6711,-1540,-1922
396,4976,-640,17712,222,-237,-456
397,4648,-1136,17388,1354,-362,-463
398,4828,-1312,17796,-1264,375,124
399,4936,-992,17304,366,-89,-437
400,4720,-884,17220,226,-132,-479
401,4640,-948,17216,802,-168,-614
